__time,/qualisys/ship_deck_platform/pose/pose/position/z
1744111524.80073,1.451256958
1744111524.81133,1.449208496
1744111524.81613,1.447022827
1744111524.82595,1.444925171
1744111524.84075,1.442873047
1744111524.85191,1.440599121
1744111524.85995,1.438575684
1744111524.86621,1.436479492
1744111524.87603,1.434516602
1744111524.88717,1.432362305
1744111524.89658,1.430435425
1744111524.9071,1.428356323
1744111524.91612,1.426303345
1744111524.93113,1.424319214
1744111524.94116,1.422415894
1744111524.95058,1.42038916
1744111524.95661,1.418489868
1744111524.97559,1.416402832
1744111524.97775,1.414717407
1744111524.98572,1.412673584
1744111525.01494,1.410938965
1744111525.01893,1.408957153
1744111525.02557,1.407468262
1744111525.03062,1.405555664
1744111525.05517,1.404192139
1744111525.05745,1.402480103
1744111525.05873,1.401096069
1744111525.08885,1.399591919
1744111525.09517,1.397017822
1744111525.10129,1.395869141
1744111525.11256,1.394510986
1744111525.11684,1.393466309
1744111525.12683,1.392332153
1744111525.14058,1.391281494
1744111525.15158,1.390350586
1744111525.16028,1.389452881
1744111525.16592,1.388524292
1744111525.1762,1.387688232
1744111525.19086,1.386647705
1744111525.19761,1.385911377
1744111525.2072,1.38502356
1744111525.21801,1.384219238
1744111525.23121,1.38351709
1744111525.2352,1.382859863
1744111525.25148,1.382111328
1744111525.26144,1.381442505
1744111525.26771,1.380778809
1744111525.2764,1.380069458
1744111525.28553,1.379576538
1744111525.30137,1.378911255
1744111525.30584,1.378457397
1744111525.31677,1.377812622
1744111525.32685,1.377347168
1744111525.35089,1.376858765
1744111525.35573,1.376452148
1744111525.35967,1.375979736
1744111525.37308,1.375655151
1744111525.38206,1.375295898
1744111525.39001,1.375041504
1744111525.39624,1.374704102
1744111525.40623,1.374512329
1744111525.41608,1.374322632
1744111525.4369,1.374173218
1744111525.43762,1.374140259
1744111525.4514,1.374193115
1744111525.46919,1.374156128
1744111525.47163,1.374107788
1744111525.47667,1.37419812
1744111525.50256,1.37421167
1744111525.50416,1.37419812
1744111525.51133,1.374113892
1744111525.51588,1.374134766
1744111525.53392,1.374168945
1744111525.54037,1.37420752
1744111525.54655,1.374149292
1744111525.56537,1.374115723
1744111525.57131,1.374158447
1744111525.58142,1.374222412
1744111525.58611,1.374130005
1744111525.59605,1.374116943
1744111525.60612,1.374243408
1744111525.61969,1.374249878
1744111525.64394,1.37419812
1744111525.64474,1.374176758
1744111525.64701,1.374178101
1744111525.65612,1.374182983
1744111525.68255,1.374229614
1744111525.68862,1.374196777
1744111525.69185,1.374232056
1744111525.69986,1.374229248
1744111525.71159,1.374165527
1744111525.71621,1.374123535
1744111525.73072,1.37416333
1744111525.73623,1.374149902
1744111525.74522,1.374168091
1744111525.75611,1.374192261
1744111525.7661,1.374171387
1744111525.7769,1.374168457
1744111525.78637,1.374182129
1744111525.80116,1.374220337
1744111525.82016,1.374196411
1744111525.82081,1.374195557
1744111525.83074,1.374174194
1744111525.85936,1.374220703
1744111525.86074,1.374325073
1744111525.86577,1.374337036
1744111525.88278,1.374438477
1744111525.88707,1.374588013
1744111525.8964,1.374985107
1744111525.91457,1.375309448
1744111525.91629,1.375705566
1744111525.92715,1.376191772
1744111525.94773,1.376806152
1744111525.94871,1.377377686
1744111525.95588,1.377907837
1744111525.97876,1.378456055
1744111525.98034,1.378989136
1744111525.99161,1.379602539
1744111526.01464,1.38053064
1744111526.02129,1.38156604
1744111526.0288,1.382755493
1744111526.03327,1.383947266
1744111526.03865,1.385291504
1744111526.04649,1.38668396
1744111526.05622,1.388084595
1744111526.06706,1.38953064
1744111526.07688,1.391116699
1744111526.09702,1.392801147
1744111526.10274,1.394509521
1744111526.121,1.396267456
1744111526.12309,1.39803064
1744111526.13104,1.399610474
1744111526.15331,1.401299805
1744111526.15471,1.402871216
1744111526.16106,1.40457251
1744111526.18521,1.406369263
1744111526.18667,1.408153687
1744111526.18751,1.409811279
1744111526.19591,1.411416992
1744111526.21526,1.413006104
1744111526.2167,1.414283691
1744111526.23626,1.41574939
1744111526.24174,1.41690332
1744111526.25377,1.418327271
1744111526.25648,1.419781494
1744111526.27902,1.421490234
1744111526.28073,1.42311084
1744111526.2856,1.42474707
1744111526.30018,1.426565552
1744111526.30542,1.428142578
1744111526.32124,1.429684692
1744111526.34224,1.431256592
1744111526.34363,1.432488403
1744111526.35078,1.434034912
1744111526.3555,1.435879028
1744111526.37383,1.437620117
1744111526.37521,1.439356567
1744111526.39163,1.441425781
1744111526.40009,1.443244751
1744111526.40576,1.445185913
1744111526.42278,1.447272339
1744111526.43588,1.449282715
1744111526.44102,1.451241943
1744111526.45195,1.453486206
1744111526.46113,1.455162842
1744111526.46986,1.45745105
1744111526.4757,1.459439453
1744111526.48517,1.461419312
1744111526.50181,1.463503296
1744111526.50651,1.465375
1744111526.52167,1.467347046
1744111526.53234,1.469200317
1744111526.54039,1.471065674
1744111526.55253,1.472677979
1744111526.5599,1.47474292
1744111526.56581,1.476397949
1744111526.58153,1.478595947
1744111526.59046,1.480439575
1744111526.59656,1.482557617
1744111526.61006,1.484505493
1744111526.62085,1.486576904
1744111526.62674,1.488531738
1744111526.64205,1.490702759
1744111526.65015,1.49261853
1744111526.65517,1.494806763
1744111526.67079,1.496735107
1744111526.6808,1.498895996
1744111526.68604,1.500939819
1744111526.69635,1.502789307
1744111526.71098,1.504860352
1744111526.72064,1.50645874
1744111526.73023,1.508594482
1744111526.74089,1.5100979
1744111526.75044,1.512098511
1744111526.77229,1.513863403
1744111526.77333,1.515822998
1744111526.78004,1.517690552
1744111526.80399,1.519741821
1744111526.80455,1.521738281
1744111526.80996,1.523864624
1744111526.8162,1.525783813
1744111526.83667,1.527720947
1744111526.83978,1.529526733
1744111526.84732,1.53152356
1744111526.86835,1.53363269
1744111526.86918,1.535476807
1744111526.88059,1.537626831
1744111526.8905,1.539477905
1744111526.90031,1.541621216
1744111526.90615,1.543520752
1744111526.92008,1.545644409
1744111526.93347,1.547532349
1744111526.943,1.54956543
1744111526.94998,1.551501953
1744111526.95999,1.553419067
1744111526.96525,1.555593384
1744111526.98127,1.557465332
1744111526.99028,1.559501221
1744111526.99574,1.561425171
1744111527.00741,1.563404541
1744111527.02843,1.565447144
1744111527.02888,1.567456421
1744111527.04097,1.56943811
1744111527.06003,1.571511108
1744111527.06135,1.573445923
1744111527.06825,1.57541626
1744111527.09651,1.577445557
1744111527.1007,1.579437256
1744111527.10425,1.581387695
1744111527.12512,1.583403442
1744111527.12566,1.585323975
1744111527.12964,1.587368652
1744111527.13548,1.589375366
1744111527.15642,1.591101929
1744111527.16091,1.593227783
1744111527.1656,1.594967529
1744111527.17803,1.597087769
1744111527.18973,1.598888306
1744111527.19971,1.600922485
1744111527.21999,1.602803223
1744111527.22095,1.604824707
1744111527.23031,1.606693848
1744111527.23563,1.608699951
1744111527.25156,1.610720459
1744111527.25511,1.612590942
1744111527.26548,1.614591919
1744111527.27534,1.616525757
1744111527.28983,1.618481689
1744111527.30141,1.620358643
1744111527.31011,1.62236438
1744111527.32035,1.624241699
1744111527.326,1.626348877
